2022-11-16 19:20:13,372 INFO    MainThread:1150 [wandb_setup.py:_flush():68] Configure stats pid to 1150
2022-11-16 19:20:13,373 INFO    MainThread:1150 [wandb_setup.py:_flush():68] Loading settings from /home/users/jialv.zou/.config/wandb/settings
2022-11-16 19:20:13,373 INFO    MainThread:1150 [wandb_setup.py:_flush():68] Loading settings from /running_package/CircuitNet/wandb/settings
2022-11-16 19:20:13,373 INFO    MainThread:1150 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'api_key': '***REDACTED***', 'mode': 'dryrun'}
2022-11-16 19:20:13,373 INFO    MainThread:1150 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': '/running_package/CircuitNet/train.py'}
2022-11-16 19:20:13,373 INFO    MainThread:1150 [wandb_init.py:_log_setup():476] Logging user logs to ./logs/exp1/wandb/offline-run-20221116_192013-15nlps5t/logs/debug.log
2022-11-16 19:20:13,373 INFO    MainThread:1150 [wandb_init.py:_log_setup():477] Logging internal logs to ./logs/exp1/wandb/offline-run-20221116_192013-15nlps5t/logs/debug-internal.log
2022-11-16 19:20:13,373 INFO    MainThread:1150 [wandb_init.py:init():516] calling init triggers
2022-11-16 19:20:13,373 INFO    MainThread:1150 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-11-16 19:20:13,374 INFO    MainThread:1150 [wandb_init.py:init():569] starting backend
2022-11-16 19:20:13,374 INFO    MainThread:1150 [wandb_init.py:init():573] setting up manager
2022-11-16 19:20:13,378 INFO    MainThread:1150 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-16 19:20:13,382 INFO    MainThread:1150 [wandb_init.py:init():580] backend started and connected
2022-11-16 19:20:13,389 INFO    MainThread:1150 [wandb_init.py:init():658] updated telemetry
2022-11-16 19:20:13,390 INFO    MainThread:1150 [wandb_init.py:init():728] starting run threads in backend
2022-11-16 19:20:14,004 INFO    MainThread:1150 [wandb_run.py:_console_start():1980] atexit reg
2022-11-16 19:20:14,005 INFO    MainThread:1150 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-16 19:20:14,005 INFO    MainThread:1150 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-16 19:20:14,005 INFO    MainThread:1150 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-16 19:20:14,005 INFO    MainThread:1150 [wandb_init.py:init():765] run started, returning control to user process
