2022-11-14 21:09:51,888 INFO    MainThread:176043 [wandb_setup.py:_flush():68] Configure stats pid to 176043
2022-11-14 21:09:51,889 INFO    MainThread:176043 [wandb_setup.py:_flush():68] Loading settings from /home/users/jialv.zou/.config/wandb/settings
2022-11-14 21:09:51,889 INFO    MainThread:176043 [wandb_setup.py:_flush():68] Loading settings from /home/users/jialv.zou/code/CircuitNet/wandb/settings
2022-11-14 21:09:51,889 INFO    MainThread:176043 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'api_key': '***REDACTED***', 'mode': 'dryrun'}
2022-11-14 21:09:51,889 INFO    MainThread:176043 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': '/home/users/jialv.zou/code/CircuitNet/train.py'}
2022-11-14 21:09:51,889 INFO    MainThread:176043 [wandb_init.py:_log_setup():476] Logging user logs to ./logs/exp1/wandb/offline-run-20221114_210951-z1b59i27/logs/debug.log
2022-11-14 21:09:51,889 INFO    MainThread:176043 [wandb_init.py:_log_setup():477] Logging internal logs to ./logs/exp1/wandb/offline-run-20221114_210951-z1b59i27/logs/debug-internal.log
2022-11-14 21:09:51,889 INFO    MainThread:176043 [wandb_init.py:init():516] calling init triggers
2022-11-14 21:09:51,890 INFO    MainThread:176043 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-11-14 21:09:51,890 INFO    MainThread:176043 [wandb_init.py:init():569] starting backend
2022-11-14 21:09:51,890 INFO    MainThread:176043 [wandb_init.py:init():573] setting up manager
2022-11-14 21:09:51,898 INFO    MainThread:176043 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-14 21:09:51,904 INFO    MainThread:176043 [wandb_init.py:init():580] backend started and connected
2022-11-14 21:09:51,913 INFO    MainThread:176043 [wandb_init.py:init():658] updated telemetry
2022-11-14 21:09:51,914 INFO    MainThread:176043 [wandb_init.py:init():728] starting run threads in backend
2022-11-14 21:09:54,284 INFO    MainThread:176043 [wandb_run.py:_console_start():1980] atexit reg
2022-11-14 21:09:54,285 INFO    MainThread:176043 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-14 21:09:54,285 INFO    MainThread:176043 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-14 21:09:54,285 INFO    MainThread:176043 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-14 21:09:54,286 INFO    MainThread:176043 [wandb_init.py:init():765] run started, returning control to user process
